scheme_id,name,region,status,created_at,updated_at,base_rate
sch_48,SCH-ANXL2D,Odisha,active,2024-04-11T20:00:50.430392,2025-03-05T20:00:50.430392,1.744
sch_49,SCH-K1SIO5,Gujarat,active,2025-02-08T20:00:50.430392,2025-04-15T20:00:50.430392,1.48
sch_50,SCH-TVJIA5,Goa,active,2024-03-27T20:00:50.430392,2024-08-07T20:00:50.430392,1.043
sch_51,SCH-S88PPQ,Puducherry,active,2025-01-08T20:00:50.430392,2025-05-06T20:00:50.430392,0.274
sch_52,SCH-CJUBWD,Maharashtra,paused,2024-08-26T20:00:50.430392,2024-08-30T20:00:50.430392,1.118
sch_53,SCH-V6OQQG,Kerala,active,2024-03-03T20:00:50.430392,2025-05-22T20:00:50.430392,0.973
sch_54,SCH-ZE8AL6,Uttar Pradesh,active,2024-03-07T20:00:50.430392,2024-04-09T20:00:50.430392,0.947
sch_55,SCH-XQ3EFY,Maharashtra,active,2024-07-20T20:00:50.430392,2025-05-27T20:00:50.430392,1.065
sch_56,SCH-JNMKCP,Chhattisgarh,active,2024-09-19T20:00:50.430392,2025-08-11T20:00:50.430392,1.136
sch_57,SCH-GC6RCD,Telangana,active,2025-04-28T20:00:50.430392,2025-06-11T20:00:50.430392,1.875
sch_58,SCH-SSP020,Telangana,active,2025-02-26T20:00:50.430392,2025-04-23T20:00:50.430392,0.844
sch_59,SCH-FY6D8F,Delhi,active,2025-05-07T20:00:50.430392,2025-07-19T20:00:50.430392,1.359
sch_60,SCH-6R4RJR,Gujarat,paused,2024-11-01T20:00:50.430392,2025-01-08T20:00:50.430392,0.208
sch_61,SCH-HN5HFP,Karnataka,active,2025-02-07T20:00:50.430392,2025-03-06T20:00:50.430392,0.54
sch_62,SCH-7FG0GN,Kerala,active,2024-03-15T20:00:50.430392,2024-05-25T20:00:50.430392,1.445
sch_63,SCH-AHY08S,Rajasthan,paused,2024-03-15T20:00:50.430392,2024-04-27T20:00:50.430392,1.791
sch_64,SCH-414LC2,Nagaland,active,2024-11-12T20:00:50.430392,2025-06-12T20:00:50.430392,1.904
sch_65,SCH-PJXJVO,Maharashtra,active,2025-01-14T20:00:50.430392,2025-06-20T20:00:50.430392,0.576
sch_66,SCH-9177PL,West Bengal,active,2024-07-09T20:00:50.430392,2025-07-25T20:00:50.430392,1.308
sch_67,SCH-44A4WX,Maharashtra,active,2024-08-31T20:00:50.430392,2025-02-05T20:00:50.430392,1.292
sch_68,SCH-8ICG6I,Rajasthan,active,2025-06-14T20:00:50.430392,2025-08-11T20:00:50.430392,0.444
sch_69,SCH-DX4Q6T,Uttar Pradesh,active,2024-07-31T20:00:50.430392,2025-03-25T20:00:50.430392,1.842
sch_70,SCH-YVIZSV,Maharashtra,active,2024-03-24T20:00:50.430392,2024-08-08T20:00:50.430392,0.74
sch_71,SCH-T74Q81,Kerala,paused,2024-03-17T20:00:50.430392,2024-12-11T20:00:50.430392,0.633
sch_72,SCH-0BCPOX,Telangana,active,2024-03-11T20:00:50.430392,2024-11-26T20:00:50.430392,0.619
sch_73,SCH-N30T68,Rajasthan,active,2024-06-30T20:00:50.430392,2025-02-01T20:00:50.430392,0.311
sch_74,SCH-E5YC5M,Gujarat,paused,2025-03-19T20:00:50.430392,2025-04-24T20:00:50.430392,1.613
sch_75,SCH-3CB2R3,Telangana,paused,2024-09-01T20:00:50.430392,2025-03-30T20:00:50.430392,1.252
sch_76,SCH-4MFU07,Jharkhand,active,2024-04-12T20:00:50.430392,2024-06-12T20:00:50.430392,1.457
sch_77,SCH-F2MUUN,Nagaland,active,2025-01-29T20:00:50.430392,2025-05-06T20:00:50.430392,0.832
sch_78,SCH-DXFFD8,Odisha,paused,2025-07-08T20:00:50.430392,2025-07-14T20:00:50.430392,1.237
sch_79,SCH-DJK7QN,Jammu and Kashmir,paused,2024-09-04T20:00:50.430392,2025-07-13T20:00:50.430392,1.761
sch_80,SCH-ZOH59O,Maharashtra,active,2025-08-14T20:00:50.430392,2025-08-18T20:00:50.430392,1.035
sch_81,SCH-4P9BN1,Gujarat,active,2025-05-25T20:00:50.430392,2025-07-27T20:00:50.430392,0.567
sch_82,SCH-2JDEM1,Uttar Pradesh,active,2025-08-14T20:00:50.430392,2025-08-15T20:00:50.430392,0.414
sch_83,SCH-9H0LCQ,Rajasthan,active,2024-03-12T20:00:50.430392,2024-03-30T20:00:50.430392,1.727
sch_84,SCH-YL01V0,Madhya Pradesh,active,2024-09-11T20:00:50.430392,2025-06-14T20:00:50.430392,0.211
sch_85,SCH-998MV8,Rajasthan,paused,2024-06-23T20:00:50.430392,2024-09-04T20:00:50.430392,0.65
sch_86,SCH-PXLO1S,Maharashtra,active,2024-08-26T20:00:50.430392,2024-09-04T20:00:50.430392,1.565
sch_87,SCH-7WV2PR,Telangana,paused,2024-07-21T20:00:50.430392,2024-07-22T20:00:50.430392,1.335
sch_88,SCH-93GBQ2,Uttar Pradesh,active,2024-10-06T20:00:50.430392,2025-03-11T20:00:50.430392,0.685
sch_89,SCH-0XOK67,Chandigarh,active,2024-05-23T20:00:50.430392,2024-11-17T20:00:50.430392,1.096
sch_90,SCH-NJBI7E,Andhra Pradesh,active,2025-04-15T20:00:50.430392,2025-06-14T20:00:50.430392,1.152
sch_91,SCH-I0O4I2,Uttar Pradesh,active,2024-03-25T20:00:50.430392,2025-06-12T20:00:50.430392,1.56
sch_92,SCH-FZP8YW,Telangana,paused,2024-07-03T20:00:50.430392,2024-12-21T20:00:50.430392,0.644
sch_93,SCH-ZPU2K6,Rajasthan,active,2024-02-26T20:00:50.430392,2025-06-20T20:00:50.430392,1.132
sch_94,SCH-OII3NV,Chhattisgarh,active,2024-10-05T20:00:50.430392,2025-05-13T20:00:50.430392,0.203
sch_95,SCH-2KFNOG,Karnataka,active,2025-03-10T20:00:50.430392,2025-07-15T20:00:50.430392,0.275
sch_96,SCH-7AIHVT,Rajasthan,active,2025-02-24T20:00:50.430392,2025-07-05T20:00:50.430392,0.304
sch_97,SCH-0KC5QL,Uttar Pradesh,active,2025-05-11T20:00:50.430392,2025-07-07T20:00:50.430392,1.047
sch_98,SCH-HHL9EX,Bihar,paused,2024-11-19T20:00:50.430392,2024-11-30T20:00:50.430392,1.028
sch_99,SCH-N33UVP,Telangana,paused,2024-11-26T20:00:50.430392,2025-03-26T20:00:50.430392,1.741
sch_100,SCH-YA56K6,Maharashtra,active,2025-04-12T20:00:50.430392,2025-07-27T20:00:50.430392,1.887
sch_101,SCH-ARU51S,Uttar Pradesh,active,2025-06-10T20:00:50.430392,2025-07-27T20:00:50.430392,1.739
sch_102,SCH-C4EL79,Uttar Pradesh,active,2024-12-25T20:00:50.430392,2025-01-20T20:00:50.430392,1.935
sch_103,SCH-1QOW3I,Jammu and Kashmir,active,2025-06-28T20:00:50.430392,2025-07-21T20:00:50.430392,1.118
sch_104,SCH-75XJK1,Uttar Pradesh,active,2025-07-18T20:00:50.430392,2025-08-11T20:00:50.430392,0.569
sch_105,SCH-NVSD7X,Bihar,paused,2025-03-10T20:00:50.430392,2025-06-16T20:00:50.430392,0.323
sch_106,SCH-W5MNWH,Uttar Pradesh,active,2025-01-29T20:00:50.430392,2025-02-27T20:00:50.430392,0.522
sch_107,SCH-8AFM7E,Andhra Pradesh,active,2024-11-29T20:00:50.430392,2025-04-14T20:00:50.430392,1.946
sch_108,SCH-W7Y9J4,Haryana,active,2025-04-09T20:00:50.430392,2025-08-14T20:00:50.430392,0.243
sch_109,SCH-O3D1QI,Madhya Pradesh,paused,2024-08-31T20:00:50.430392,2024-11-08T20:00:50.430392,1.94
sch_110,SCH-YFEJZE,West Bengal,active,2024-11-01T20:00:50.430392,2024-12-30T20:00:50.430392,1.276
sch_111,SCH-VER1EB,Chhattisgarh,paused,2025-01-04T20:00:50.430392,2025-04-01T20:00:50.430392,0.698
sch_112,SCH-LXJ57Q,Maharashtra,active,2024-12-22T20:00:50.430392,2025-07-21T20:00:50.430392,1.412
sch_113,SCH-1ENGXK,Madhya Pradesh,active,2025-06-19T20:00:50.430392,2025-06-19T20:00:50.430392,1.799
sch_114,SCH-DTZK8K,Gujarat,active,2024-09-04T20:00:50.430392,2025-08-04T20:00:50.430392,1.261
sch_115,SCH-ZBC8CX,Rajasthan,active,2025-01-12T20:00:50.430392,2025-05-05T20:00:50.430392,1.139
sch_116,SCH-TQ88OF,Tamil Nadu,paused,2025-03-20T20:00:50.430392,2025-07-14T20:00:50.430392,0.554
sch_117,SCH-1LTO30,Uttar Pradesh,active,2025-06-18T20:00:50.430392,2025-07-10T20:00:50.430392,1.859
sch_118,SCH-PC7ZXU,Bihar,active,2025-05-07T20:00:50.430392,2025-08-05T20:00:50.430392,0.915
sch_119,SCH-4K4TMA,Uttar Pradesh,paused,2024-08-04T20:00:50.430392,2025-07-05T20:00:50.430392,1.621
sch_120,SCH-18MSDX,Assam,paused,2024-07-25T20:00:50.430392,2025-03-16T20:00:50.430392,1.203
sch_121,SCH-XHVSGP,Telangana,paused,2025-03-17T20:00:50.430392,2025-04-30T20:00:50.430392,0.555
sch_122,SCH-1UHQ9T,Andhra Pradesh,paused,2024-09-19T20:00:50.430392,2025-07-29T20:00:50.430392,1.803
sch_123,SCH-4UKYIH,Tamil Nadu,active,2025-05-09T20:00:50.430392,2025-06-15T20:00:50.430392,1.131
sch_124,SCH-A79EK2,Bihar,active,2024-07-06T20:00:50.430392,2024-07-12T20:00:50.430392,1.686
sch_125,SCH-O56X0W,Rajasthan,active,2025-04-30T20:00:50.430392,2025-07-26T20:00:50.430392,1.291
sch_126,SCH-89K5N9,Uttarakhand,active,2025-04-01T20:00:50.430392,2025-08-09T20:00:50.430392,0.745
sch_127,SCH-CLVOH7,Punjab,paused,2025-03-04T20:00:50.430392,2025-07-12T20:00:50.430392,1.884
sch_128,SCH-JMN4D5,West Bengal,active,2024-03-28T20:00:50.430392,2024-04-07T20:00:50.430392,0.852
sch_129,SCH-NR23Y0,Odisha,active,2025-02-19T20:00:50.430392,2025-05-12T20:00:50.430392,0.858
sch_130,SCH-XOK01G,Telangana,active,2025-07-30T20:00:50.430392,2025-08-09T20:00:50.430392,1.058
sch_131,SCH-F17KNX,Gujarat,active,2025-06-21T20:00:50.430392,2025-07-20T20:00:50.430392,0.664
sch_132,SCH-6D15YA,Delhi,paused,2025-01-15T20:00:50.430392,2025-05-17T20:00:50.430392,1.652
sch_133,SCH-R3OD6E,Uttar Pradesh,paused,2025-03-11T20:00:50.430392,2025-03-30T20:00:50.430392,1.145
sch_134,SCH-HVUXRY,Uttar Pradesh,active,2024-09-09T20:00:50.430392,2024-09-13T20:00:50.430392,0.515
sch_135,SCH-G1WA45,Maharashtra,active,2025-03-04T20:00:50.430392,2025-07-05T20:00:50.430392,1.885
sch_136,SCH-QNY7A8,Karnataka,active,2024-11-10T20:00:50.430392,2025-01-23T20:00:50.430392,1.541
sch_137,SCH-H62GP7,West Bengal,active,2024-09-28T20:00:50.430392,2025-03-14T20:00:50.430392,1.703
sch_138,SCH-OKM1NZ,Uttar Pradesh,active,2025-04-27T20:00:50.430392,2025-06-07T20:00:50.430392,0.293
sch_139,SCH-PV8F5C,Rajasthan,active,2024-12-22T20:00:50.430392,2025-01-05T20:00:50.430392,1.86
sch_140,SCH-W9VTL6,Tamil Nadu,active,2024-05-13T20:00:50.430392,2025-05-04T20:00:50.430392,1.53
sch_141,SCH-9PRYOZ,Puducherry,active,2024-04-30T20:00:50.430392,2024-11-25T20:00:50.430392,0.706
sch_142,SCH-2K5KG4,Uttar Pradesh,active,2025-06-24T20:00:50.430392,2025-08-17T20:00:50.430392,1.926
sch_143,SCH-ME813P,Chhattisgarh,active,2025-01-21T20:00:50.430392,2025-05-28T20:00:50.430392,1.457
sch_144,SCH-GFI755,Rajasthan,paused,2024-08-31T20:00:50.430392,2025-05-03T20:00:50.430392,1.506
sch_145,SCH-Y5BIRT,West Bengal,active,2024-06-12T20:00:50.430392,2025-06-16T20:00:50.430392,0.682
sch_146,SCH-HGYB77,Odisha,active,2024-06-13T20:00:50.430392,2024-07-27T20:00:50.430392,0.923
sch_147,SCH-2C96BY,Madhya Pradesh,paused,2024-11-13T20:00:50.430392,2025-02-19T20:00:50.430392,0.683
sch_148,SCH-CIA8J3,Uttar Pradesh,active,2024-12-13T20:00:50.430392,2025-01-11T20:00:50.430392,1.208
sch_149,SCH-HOPQ3Q,Madhya Pradesh,active,2024-04-04T20:00:50.430392,2024-05-25T20:00:50.430392,1.286
sch_150,SCH-8N3CE2,Uttarakhand,active,2024-11-24T20:00:50.430392,2025-07-10T20:00:50.430392,1.608
sch_151,SCH-7JYZ2Q,Karnataka,active,2024-08-06T20:00:50.430392,2025-03-04T20:00:50.430392,0.971
sch_152,SCH-YL0SD8,Jharkhand,active,2024-03-07T20:00:50.430392,2024-12-28T20:00:50.430392,1.587
sch_153,SCH-0TUMTC,Himachal Pradesh,active,2025-02-02T20:00:50.430392,2025-06-14T20:00:50.430392,0.739
sch_154,SCH-O617PL,Maharashtra,active,2025-03-21T20:00:50.430392,2025-07-30T20:00:50.430392,1.542
sch_155,SCH-HUIQFR,Punjab,active,2024-06-28T20:00:50.430392,2025-05-21T20:00:50.430392,0.752
sch_156,SCH-LVGYTA,Gujarat,active,2025-01-07T20:00:50.430392,2025-08-17T20:00:50.430392,0.685
sch_157,SCH-YGJMBF,Jharkhand,active,2024-07-10T20:00:50.430392,2024-12-13T20:00:50.430392,1.05
sch_158,SCH-EVTRBS,Uttar Pradesh,active,2025-01-26T20:00:50.430392,2025-07-31T20:00:50.430392,1.911
sch_159,SCH-2VVWR9,Kerala,active,2024-08-23T20:00:50.430392,2024-10-19T20:00:50.430392,0.326
sch_160,SCH-TL3WCY,Andhra Pradesh,active,2024-11-04T20:00:50.430392,2025-02-25T20:00:50.430392,0.931
sch_161,SCH-KTSO7I,Bihar,active,2025-07-15T20:00:50.430392,2025-08-17T20:00:50.430392,0.855
sch_162,SCH-Y37J66,Gujarat,paused,2025-08-17T20:00:50.430392,2025-08-18T20:00:50.430392,1.615
sch_163,SCH-7F901G,Bihar,active,2025-03-14T20:00:50.430392,2025-04-04T20:00:50.430392,1.415
sch_164,SCH-6XXEA4,Tamil Nadu,active,2024-08-28T20:00:50.430392,2025-05-21T20:00:50.430392,0.925
sch_165,SCH-IW7INE,West Bengal,active,2024-04-21T20:00:50.430392,2025-07-12T20:00:50.430392,0.697
sch_166,SCH-8IPHDK,Odisha,active,2025-06-01T20:00:50.430392,2025-07-18T20:00:50.430392,1.397
sch_167,SCH-MPJW5L,Madhya Pradesh,paused,2024-10-25T20:00:50.430392,2024-11-04T20:00:50.430392,0.317
sch_168,SCH-KJVUBB,West Bengal,active,2025-02-26T20:00:50.430392,2025-05-11T20:00:50.430392,1.985
sch_169,SCH-ZSYL15,Uttar Pradesh,paused,2024-08-31T20:00:50.430392,2024-10-08T20:00:50.430392,0.616
sch_170,SCH-G381HN,Jharkhand,active,2024-11-30T20:00:50.430392,2024-12-10T20:00:50.430392,1.007
sch_171,SCH-HO0YH2,Kerala,paused,2025-05-16T20:00:50.430392,2025-05-26T20:00:50.430392,0.746
sch_172,SCH-SGLMTD,Tamil Nadu,active,2025-05-14T20:00:50.430392,2025-05-31T20:00:50.430392,1.704
sch_173,SCH-7ZN3LJ,Tamil Nadu,active,2024-09-12T20:00:50.430392,2025-03-26T20:00:50.430392,1.429
sch_174,SCH-8EJQEH,Telangana,active,2025-08-02T20:00:50.430392,2025-08-05T20:00:50.430392,1.445
sch_175,SCH-DVJX85,Rajasthan,paused,2024-07-03T20:00:50.430392,2025-06-24T20:00:50.430392,1.108
sch_176,SCH-3FPI5D,Telangana,active,2024-07-05T20:00:50.430392,2024-08-12T20:00:50.430392,1.556
sch_177,SCH-VPRK82,Madhya Pradesh,active,2025-07-19T20:00:50.430392,2025-07-29T20:00:50.430392,0.609
sch_178,SCH-RJLEH8,Odisha,active,2025-01-04T20:00:50.430392,2025-01-19T20:00:50.430392,1.28
sch_179,SCH-KF1ILE,Maharashtra,paused,2025-02-28T20:00:50.430392,2025-06-15T20:00:50.430392,1.29
sch_180,SCH-VZWFGT,Andhra Pradesh,active,2024-07-08T20:00:50.430392,2025-02-14T20:00:50.430392,1.955
sch_181,SCH-O6S2IU,Gujarat,active,2025-02-15T20:00:50.430392,2025-08-17T20:00:50.430392,0.598
sch_182,SCH-3T3NMW,Telangana,active,2024-10-14T20:00:50.430392,2025-05-15T20:00:50.430392,1.865
sch_183,SCH-YEH2SA,Madhya Pradesh,active,2025-03-08T20:00:50.430392,2025-07-06T20:00:50.430392,1.272
sch_184,SCH-1QNKVB,Tamil Nadu,active,2024-09-13T20:00:50.430392,2024-10-13T20:00:50.430392,0.221
sch_185,SCH-A9PI2Y,Odisha,paused,2024-04-10T20:00:50.430392,2024-07-11T20:00:50.430392,1.921
sch_186,SCH-D48E0G,Karnataka,active,2025-04-29T20:00:50.430392,2025-07-15T20:00:50.430392,0.965
sch_187,SCH-NS761Z,Uttar Pradesh,active,2024-10-26T20:00:50.430392,2024-11-23T20:00:50.430392,1.631
sch_188,SCH-2UOHE4,Gujarat,active,2024-04-08T20:00:50.430392,2025-06-08T20:00:50.430392,0.658
sch_189,SCH-BO605A,West Bengal,active,2024-07-29T20:00:50.430392,2024-10-04T20:00:50.430392,1.14
sch_190,SCH-5TE1DO,Rajasthan,active,2025-07-02T20:00:50.430392,2025-07-03T20:00:50.430392,1.724
sch_191,SCH-NAMIVF,Andhra Pradesh,active,2025-03-05T20:00:50.430392,2025-06-26T20:00:50.430392,0.474
sch_192,SCH-2RJLCD,Telangana,paused,2024-11-09T20:00:50.430392,2025-08-09T20:00:50.430392,1.806
sch_193,SCH-PFD56M,Tamil Nadu,active,2024-03-16T20:00:50.430392,2025-07-23T20:00:50.430392,0.975
sch_194,SCH-820PWR,Telangana,active,2025-07-11T20:00:50.430392,2025-08-05T20:00:50.430392,0.587
sch_195,SCH-OKA2UG,Bihar,active,2024-07-27T20:00:50.430392,2024-10-16T20:00:50.430392,1.1
sch_196,SCH-LJXV26,Madhya Pradesh,paused,2024-12-03T20:00:50.430392,2025-07-01T20:00:50.430392,0.201
sch_197,SCH-A7XL9Z,Uttar Pradesh,active,2024-08-24T20:00:50.430392,2024-10-15T20:00:50.430392,1.044
sch_198,SCH-FVY8RU,Odisha,active,2025-02-05T20:00:50.430392,2025-04-04T20:00:50.430392,1.568
sch_199,SCH-G1W94X,Gujarat,active,2024-02-26T20:00:50.430392,2024-07-28T20:00:50.430392,0.464
sch_200,SCH-CQMRQ5,Maharashtra,active,2024-05-20T20:00:50.430392,2024-08-25T20:00:50.430392,0.366
sch_201,SCH-F6ARFO,Karnataka,paused,2025-05-19T20:00:50.430392,2025-06-15T20:00:50.430392,1.267
sch_202,SCH-HV0HX0,Rajasthan,paused,2024-07-16T20:00:50.430392,2025-06-07T20:00:50.430392,1.011
sch_203,SCH-D956F6,Tamil Nadu,active,2025-06-05T20:00:50.430392,2025-07-27T20:00:50.430392,0.441
sch_204,SCH-86I5ZE,Tamil Nadu,paused,2024-03-09T20:00:50.430392,2025-07-22T20:00:50.430392,0.54
sch_205,SCH-ADGE2W,Maharashtra,active,2024-11-13T20:00:50.430392,2025-08-06T20:00:50.430392,1.303
sch_206,SCH-XASM0E,Arunachal Pradesh,paused,2025-01-04T20:00:50.430392,2025-05-10T20:00:50.430392,0.654
sch_207,SCH-HTYQIT,Karnataka,active,2025-04-24T20:00:50.430392,2025-06-15T20:00:50.430392,1.115
sch_208,SCH-SIVSZV,Tamil Nadu,active,2024-10-09T20:00:50.430392,2025-02-08T20:00:50.430392,1.784
sch_209,SCH-LL1SUE,Jharkhand,active,2025-06-14T20:00:50.430392,2025-06-27T20:00:50.430392,0.883
sch_210,SCH-5ZB37R,Uttar Pradesh,active,2024-07-21T20:00:50.430392,2024-08-04T20:00:50.430392,1.95
sch_211,SCH-JIKVU1,Odisha,active,2025-03-11T20:00:50.430392,2025-04-22T20:00:50.430392,1.482
sch_212,SCH-0BP8F0,West Bengal,paused,2024-11-02T20:00:50.430392,2025-08-01T20:00:50.430392,1.096
sch_213,SCH-KLCPD9,Chhattisgarh,active,2024-05-08T20:00:50.430392,2025-04-20T20:00:50.430392,1.785
sch_214,SCH-RQ1L0J,Karnataka,active,2024-06-23T20:00:50.430392,2024-11-23T20:00:50.430392,0.85
sch_215,SCH-HY9UO2,Bihar,active,2024-04-25T20:00:50.430392,2025-06-10T20:00:50.430392,0.224
sch_216,SCH-DSFLVO,Chhattisgarh,paused,2024-11-06T20:00:50.430392,2025-01-13T20:00:50.430392,0.598
sch_217,SCH-YXJRLB,Tamil Nadu,paused,2025-08-09T20:00:50.430392,2025-08-13T20:00:50.430392,1.869
sch_218,SCH-QQSZKP,Jharkhand,active,2025-03-18T20:00:50.430392,2025-05-11T20:00:50.430392,1.6
sch_219,SCH-IR3X40,Ladakh,active,2024-06-19T20:00:50.430392,2024-06-28T20:00:50.430392,1.344
sch_220,SCH-4UDRNY,Jharkhand,paused,2024-06-29T20:00:50.430392,2025-06-07T20:00:50.430392,0.925
sch_221,SCH-1Q3BSO,Assam,active,2024-09-03T20:00:50.430392,2025-04-23T20:00:50.430392,0.879
sch_222,SCH-G8DR2I,Gujarat,active,2024-07-27T20:00:50.430392,2024-12-01T20:00:50.430392,1.833
sch_223,SCH-ZHW25O,Karnataka,paused,2024-06-22T20:00:50.430392,2025-01-17T20:00:50.430392,0.733
sch_224,SCH-0TUS6H,Bihar,active,2024-10-12T20:00:50.430392,2024-10-17T20:00:50.430392,0.565
sch_225,SCH-O0WC5B,Tamil Nadu,paused,2024-11-06T20:00:50.430392,2025-03-14T20:00:50.430392,1.679
sch_226,SCH-C8GRPJ,Tamil Nadu,active,2024-06-09T20:00:50.430392,2025-01-25T20:00:50.430392,0.845
